Sector,Average_Sentiment_Score,Total_Mentions
Technology,0.02005128473909093,385
Health Care,0.025082929905202805,42
Consumer Discretionary,-0.019146517320596523,344
Industrials,-0.0985583369547077,12
Finance,-0.06885438846728534,168
Energy,0.013847719871739808,51
Consumer Staples,-0.02582734428487712,12
Telecommunications,-0.0013912936181072824,16
