tickers
AAPL
MSFT
NVDA
GOOG
GOOGL
AMZN
META
AVGO
TSM
TSLA
WMT
LLY
JPM
V
UNH
MA
XOM
COST
NFLX
FMX
PG
JNJ
ORCL
HD
SAP
KO
TMUS
BAC
NVO
SMFG
BABA
ASML
PM
CRM
CVX
TM
CCZ
ABT
CSCO
IBM
MCD
PLTR
NVS
LIN
WFC
AZN
GE
SHEL
T
ACN
MRK
PEP
RTX
ISRG
TMO
INTU
NOW
RY
TBB
PGR
GS
UL
UBER
AMGN
QCOM
DIS
BKNG
ADBE
AMD
SPGI
TJX
SONY
BSX
CAT
SCHW
DHR
MUFG
NEE
