ticker,open_variance,high_variance,low_variance,close_variance,volume_variance
AAPL,3664.8623559133916,3738.787717687417,3598.9915946986343,3671.864195312537,7.387328976077402e15
ABT,1.6573619568686881,1.7476312918979782,1.8472563675111093,1.784219203130303,4.8244485384744434e11
ACN,7.248299591418179,7.576851972347468,6.733326264400019,6.260846853506065,8.100647120228127e10
ADBE,30.148784818585835,43.3140194938384,34.69442568021819,30.552662200844445,3.716539957176518e10
ADP,3.474054761515142,7.334869916185854,4.8816843117282875,3.856348112525256,3.214763226993576e10
AMAT,11.440031476905052,12.178328510556563,15.008466492569697,12.114867149772719,3.061484799670984e11
AMD,6.0517068648272705,21.639203213813133,7.614063455283834,6.015207380706058,3.084936533544177e12
AMGN,2.256268421430309,3.3799456163595996,2.332153324444447,2.327263334847477,4.2455245837977684e10
AMZN,269672.7371301203,274615.3726636108,263889.81344831164,269439.57016676577,5.343840966147241e13
ASML,74.5616430650293,106.16795243866176,98.48702951945353,72.31406868357475,6.747740595704646e9
AVGO,9486.660914241864,9690.051807778711,9268.392260528673,9483.37408798045,5.397919905202429e12
AZN,0.26711439929292946,0.5395509756727274,0.3622336570060607,0.608556229433332,6.994439546006908e10
BA,15.247395663332316,18.643702096565654,29.311594411615136,13.38006404429899,3.959834368871366e11
BABA,0.9908620464757583,1.6216940949686867,1.2371213255595968,0.78216379621313,1.14979539554256e12
BAC,0.1614934129484847,0.16983458041515148,0.23110422661010097,0.18313827320707052,8.675336118438958e12
BHP,0.22816177828282802,0.19913226633939435,0.23886047615757564,0.20323012744545482,2.8914836076379406e10
BKNG,4335.4668694091415,4128.995704883964,5299.167246707601,4529.886433323233,1.8964733757767674e8
BSX,4.28933957340909,4.380589352327272,5.457518104177779,4.3656333520848465,8.52824567415112e11
BUD,0.32507831378181806,0.35150477436262595,0.49225129678686846,0.3704657329404032,1.002092302740798e10
C,1.048017483607071,0.923219463930305,1.546279478435353,1.145893406161616,1.6952648425479182e12
CAT,25.12839250074644,20.96506996970101,31.230943163418203,23.222119053030294,5.9178154797623726e10
CB,25.534706572172723,30.08442308179395,19.969919375458613,24.599274083636363,3.261402077547667e10
CCZ,7.256873977230653,7.106261944650135,6.778459459459463,7.370498111810436,227802.93317289895
CMCSA,0.5034605855141406,0.5232961887232315,0.5460539897939393,0.5011289568525251,3.896919709948009e12
COP,0.8922940768191909,0.5670058621454557,1.4611701916161612,0.716718236812122,3.781763669109632e11
COST,83.04949230755048,87.28461022535755,129.14093765505055,76.19438203892015,2.5237622163471813e10
CRM,48.90817796717172,130.1207836319949,55.31055189145354,45.065975279728306,2.59954009319484e11
CSCO,0.24224894951919185,0.2725584023272729,0.2766693223232325,0.29089333261717165,3.3314873391910713e12
CVX,1.322423436711109,14.017976083155553,1.488045606973733,1.215999002297975,5.744020368838792e11
DE,18.83843962363636,22.435053463535358,35.4225215494586,30.893890455858582,1.0905554396353434e10
DHR,4.1104045824030315,5.932232856091921,6.308423950968694,5.627702134015153,2.3029922580418768e11
DIS,1.5451019465969689,1.4074101506858578,2.6036986830343434,1.4351194136808092,7.481139871014646e11
FI,380.8431645146212,409.50906532141397,363.82358594878787,394.9133580449403,3.2049745403072565e11
FMX,3.6711150813696958,3.4129954170616172,3.378426273021211,3.06205296871111,4.024992071309494e9
GE,6.526476065675762,3.9276415235191946,18.379564281796974,5.794112394824249,1.9224758444066827e11
GILD,2.9284107953373697,2.796703292423231,4.878646222121211,3.073855488423231,5.3512250618077765e11
GOOG,124607.24282098598,126780.76090378137,122601.06752470457,124826.04811875106,6.402084222833376e13
GOOGL,127310.764919982,129464.32794377464,125129.4620289061,127429.45457347871,6.276013062104176e13
GS,74.87773982310611,56.23777742595052,87.0557232157768,54.272664734610025,2.1425236616530407e10
HD,18.61841820965254,77.56325660482426,22.291305210580806,18.458368805312123,1.0180784436395718e11
HON,2.1005175676959573,2.059938011994948,2.7834932994909054,2.135848948428279,2.0996163043542056e11
IBM,54.68297203911512,62.834272413005046,50.029039563559586,52.09003418947373,4.216806384772214e11
IBN,0.11238494527171704,0.1101356611505052,0.11821647218585873,0.12028735182222246,2.1845560653512476e11
INTU,122.82891083544544,119.72705834468279,165.28296836215256,137.08087078437475,1.2906653927933239e10
ISRG,172.24041068414047,167.27067870405654,184.62852826921622,165.25907676430202,2.667389015686707e10
JNJ,1.9572024634181815,2.162482452965655,2.720536310112117,2.0354542964959594,6.729150439384285e11
JPM,23.522593114071682,23.39371021605959,28.784740531792934,22.101057803332324,1.8274916482499988e12
KO,0.2586053482535365,0.29404139260101053,0.6534487312111108,0.28592072280707104,1.6519263799967112e12
LIN,17.930823600359602,19.875533101414167,21.474398839034343,16.548830439889894,2.5408674819118687e10
LLY,7159.659557804875,7233.018155712183,7052.727524331028,7169.529857691651,5.630938253398564e12
LMT,26.441932836448483,27.185231726192928,29.10008741520805,26.70561236118786,1.2380833333536463e10
LOW,4.075550895454554,4.255066508383838,4.602033345894959,3.826900608140408,6.06901362012787e10
MA,69.120453786807,79.64118285101414,66.71237642007577,72.98072777620612,6.131850874061576e10
MCD,3.9243944543393905,3.9194078877616176,6.921057349955555,3.781877431041403,5.3989735440251625e10
META,323.34404886341025,356.9269423214899,285.1591460348232,331.92437757759467,7.635236399627347e11
MMC,7.751942239445462,8.956203492529283,6.804994101489902,6.633442674039391,9.875231947315149e10
MRK,1.884272835963636,1.8812670689484838,2.1455234833333354,1.922374538238384,2.271775414477477e12
MSFT,2283.9209743261285,2318.276982320616,2251.516049302348,2286.1723203123356,1.5313357649005085e15
