ticker,timestamp,open,high,low,close,volume
RTX,2025-04-25 19:30:00,125.4200,125.4200,125.0100,125.4000,272
RTX,2025-04-25 19:00:00,125.2200,125.4200,125.2200,125.4200,978268
RTX,2025-04-25 18:30:00,125.2200,125.5000,125.2100,125.4200,978481
RTX,2025-04-25 18:00:00,125.2008,125.2100,125.2000,125.2100,215
RTX,2025-04-25 17:30:00,125.2000,125.3200,125.2000,125.2045,261
RTX,2025-04-25 17:00:00,125.2900,125.4900,125.2000,125.2400,1563
RTX,2025-04-25 16:30:00,125.2100,125.4900,123.8035,123.8035,1184
RTX,2025-04-25 16:00:00,125.2400,125.5900,121.8650,121.8650,3316865
RTX,2025-04-25 15:30:00,125.0000,125.5000,124.9100,125.2400,1289677
RTX,2025-04-25 15:00:00,124.6700,125.0950,124.6700,125.0390,335491
RTX,2025-04-25 14:30:00,124.5075,124.9000,124.4900,124.6450,271019
RTX,2025-04-25 14:00:00,124.2300,124.5900,124.1500,124.5000,187998
RTX,2025-04-25 13:30:00,124.9050,125.0900,124.2250,124.2700,386534
RTX,2025-04-25 13:00:00,124.8300,125.0400,124.6200,124.8856,308987
RTX,2025-04-25 12:30:00,124.6700,124.8499,124.5300,124.8050,176744
RTX,2025-04-25 12:00:00,124.1900,124.7500,124.1900,124.6700,241534
RTX,2025-04-25 11:30:00,123.6400,124.3200,123.6000,124.1700,199055
RTX,2025-04-25 11:00:00,123.5100,123.9966,123.3900,123.6400,183647
RTX,2025-04-25 10:30:00,123.0350,123.6000,122.8200,123.4978,322695
RTX,2025-04-25 10:00:00,123.6700,124.1700,122.7700,123.1700,445322
RTX,2025-04-25 09:30:00,122.7300,123.8100,122.4101,123.6600,486881
RTX,2025-04-25 09:00:00,122.4800,122.9900,122.3000,122.5500,2770
RTX,2025-04-25 08:30:00,122.9900,122.9900,122.3000,122.4800,461
RTX,2025-04-25 08:00:00,122.0100,122.9900,121.6000,122.3000,778
RTX,2025-04-25 07:30:00,122.0100,122.3400,122.0100,122.3000,135
RTX,2025-04-25 07:00:00,122.0000,122.3400,122.0000,122.0100,512
RTX,2025-04-25 06:30:00,122.0200,122.3500,122.0000,122.0100,87
RTX,2025-04-25 06:00:00,122.1100,122.4100,122.0200,122.3800,522
RTX,2025-04-25 05:30:00,122.3900,122.3900,122.3500,122.3900,233
RTX,2025-04-25 05:00:00,122.3900,122.5400,122.3900,122.4000,193
RTX,2025-04-25 04:30:00,122.0900,122.4200,122.0900,122.4200,480
RTX,2025-04-25 04:00:00,122.4700,122.4900,121.9400,121.9400,323
RTX,2025-04-24 19:30:00,122.3000,123.0000,121.2400,121.9500,892
RTX,2025-04-24 19:00:00,121.9700,123.0000,121.9700,122.6000,892862
RTX,2025-04-24 18:30:00,121.9700,123.2400,121.9700,123.2400,892806
RTX,2025-04-24 18:00:00,122.0100,123.2400,121.0500,122.0800,151
RTX,2025-04-24 17:30:00,122.1000,122.6500,121.5090,122.0000,356
RTX,2025-04-24 17:00:00,123.2000,123.2000,121.8100,122.1000,147
RTX,2025-04-24 16:30:00,121.5000,123.2000,121.0000,122.0200,88392
RTX,2025-04-24 16:00:00,121.9300,123.2400,120.0000,121.5000,2807805
RTX,2025-04-24 15:30:00,121.7100,122.0600,121.4050,121.9100,763575
RTX,2025-04-24 15:00:00,121.6600,121.8000,121.3600,121.6800,413159
RTX,2025-04-24 14:30:00,121.4000,121.7850,121.3900,121.6500,236994
RTX,2025-04-24 14:00:00,121.2800,121.6625,121.2700,121.4050,214465
RTX,2025-04-24 13:30:00,121.1700,121.3350,120.9650,121.3136,139921
RTX,2025-04-24 13:00:00,121.4100,121.4100,121.0500,121.1650,141498
RTX,2025-04-24 12:30:00,120.8050,121.5100,120.8050,121.4200,185610
RTX,2025-04-24 12:00:00,120.5700,120.9600,120.3900,120.8476,184054
RTX,2025-04-24 11:30:00,120.9300,120.9500,120.3400,120.5350,184661
RTX,2025-04-24 11:00:00,120.8200,120.9147,120.4425,120.8650,164081
RTX,2025-04-24 10:30:00,120.5100,120.8600,120.4400,120.7500,187811
RTX,2025-04-24 10:00:00,120.4000,120.5950,119.9100,120.5250,262413
RTX,2025-04-24 09:30:00,120.0300,121.0500,119.5100,120.4000,321459
