ticker,timestamp,open,high,low,close,volume
SYK,2025-04-25 19:00:00,365.0600,365.0600,331.0000,331.0000,170546
SYK,2025-04-25 18:30:00,365.0600,365.0600,365.0600,365.0600,170545
SYK,2025-04-25 17:00:00,370.0000,370.0000,365.0600,365.0900,17
SYK,2025-04-25 16:00:00,365.1100,365.2200,353.4400,353.4400,544457
SYK,2025-04-25 15:30:00,364.4300,366.2350,363.7400,365.2200,288898
SYK,2025-04-25 15:00:00,364.7400,365.4525,364.2700,364.4900,71620
SYK,2025-04-25 14:30:00,364.8600,366.2250,364.5550,364.7800,80436
SYK,2025-04-25 14:00:00,363.6800,365.7025,363.6450,364.8800,53693
SYK,2025-04-25 13:30:00,364.8550,365.8250,363.1100,363.7300,157377
SYK,2025-04-25 13:00:00,363.7700,365.2600,363.5700,364.8700,49327
SYK,2025-04-25 12:30:00,363.8500,364.3300,363.1400,363.7200,70901
SYK,2025-04-25 12:00:00,363.3790,365.0000,362.6950,364.1300,102958
SYK,2025-04-25 11:30:00,362.0300,363.5400,361.6700,363.2500,39411
SYK,2025-04-25 11:00:00,362.4431,362.6300,361.4600,362.0400,51856
SYK,2025-04-25 10:30:00,360.1400,361.8300,359.6400,361.8300,54910
SYK,2025-04-25 10:00:00,363.9300,364.3900,360.3600,360.7100,94799
SYK,2025-04-25 09:30:00,360.6000,365.9600,359.3801,363.8250,126706
SYK,2025-04-25 09:00:00,360.8300,361.2200,358.1400,361.2200,1866
SYK,2025-04-25 08:30:00,360.0100,361.5000,360.0100,361.5000,71
SYK,2025-04-25 08:00:00,361.1100,362.0500,360.0400,362.0500,23
SYK,2025-04-25 07:30:00,361.8800,363.0000,360.0500,360.0800,156
SYK,2025-04-25 07:00:00,360.2000,361.8800,360.2000,361.0100,15
SYK,2025-04-25 06:30:00,362.0500,362.0500,360.0500,361.5000,14
SYK,2025-04-25 06:00:00,363.9400,363.9400,359.5500,361.0100,322
SYK,2025-04-25 05:30:00,362.0000,364.5500,361.9800,362.6000,191
SYK,2025-04-25 05:00:00,361.6000,362.9000,361.0700,362.0400,24
SYK,2025-04-25 04:30:00,362.8100,362.8100,361.2000,361.7000,8
SYK,2025-04-25 04:00:00,363.0000,363.0000,360.0700,362.9000,20
SYK,2025-04-24 19:00:00,361.0500,361.0500,357.1400,357.1400,306273
SYK,2025-04-24 18:30:00,361.0500,361.0500,359.2600,359.2600,306374
SYK,2025-04-24 18:00:00,360.0100,361.0000,359.5100,361.0000,61
SYK,2025-04-24 16:30:00,361.0000,361.2100,361.0000,361.0100,177
SYK,2025-04-24 16:00:00,361.0600,361.4700,358.7100,361.0500,1010592
SYK,2025-04-24 15:30:00,359.0300,361.3300,358.2100,360.7400,219761
SYK,2025-04-24 15:00:00,360.0000,360.7000,359.3200,359.3200,78332
SYK,2025-04-24 14:30:00,359.6450,360.7800,359.4800,360.0000,81797
SYK,2025-04-24 14:00:00,359.3250,359.9700,359.1700,359.6100,94738
SYK,2025-04-24 13:30:00,359.8150,360.2400,359.0900,359.1400,44339
SYK,2025-04-24 13:00:00,359.3500,360.0000,359.0800,359.7400,50451
SYK,2025-04-24 12:30:00,358.7700,360.2200,358.7700,360.0400,58134
SYK,2025-04-24 12:00:00,359.1500,359.9798,357.7600,359.1800,49904
SYK,2025-04-24 11:30:00,358.4650,359.6300,358.3800,359.1700,59608
SYK,2025-04-24 11:00:00,357.6200,358.9800,357.5900,358.7700,53318
SYK,2025-04-24 10:30:00,358.6350,360.1900,357.3900,357.8600,42500
SYK,2025-04-24 10:00:00,355.9700,359.3900,355.5900,359.1000,60107
SYK,2025-04-24 09:30:00,358.6500,358.7450,354.4700,355.8600,42638
SYK,2025-04-24 09:00:00,357.1300,358.1000,356.1100,356.6200,233
SYK,2025-04-24 08:30:00,355.1300,358.1000,355.1300,358.1000,130
SYK,2025-04-24 08:00:00,357.1100,367.2000,355.0000,367.2000,36
SYK,2025-04-24 07:30:00,355.9000,357.4000,354.6100,356.6000,98
SYK,2025-04-24 07:00:00,356.1200,358.1100,355.6200,356.0900,253
SYK,2025-04-24 06:30:00,356.1100,357.6100,355.7700,357.1200,100
SYK,2025-04-24 06:00:00,355.6500,356.9100,355.5000,355.6700,113
SYK,2025-04-24 05:30:00,355.5500,356.7000,355.5500,356.5800,17
SYK,2025-04-24 05:00:00,356.9100,356.9100,355.1700,355.5100,126
SYK,2025-04-24 04:30:00,355.6100,356.5000,354.6100,356.1000,60
SYK,2025-04-24 04:00:00,359.0000,359.0000,349.9700,356.5000,386
