Symbol
MS
RTX
ISRG
TMO
INTU
NOW
RY
TBB
PGR
GS
UL
UBER
AMGN
QCOM
DIS
BKNG
ADBE
AMD
SPGI
TJX
SONY
BSX
CAT
SCHW
DHR
MUFG
NEE
BLK
TXN
SYK
UNP
GILD
TTE
SNY
PDD
CMCSA
HON
PFE
VRTX
DE
LOW
ADP
FI
BA
C
BUD
BHP
SPOT
CB
MMC
IBN
PANW
LMT
AMAT
COP
SHOP
MDT
TD
ETN
ARM
RACE
YMM
MELI
AMT
BMY
SO
SAN
ELV
ENB
MO
RELX
BX
CME
CRWD
DUK
WELL
PLD
WM
SBUX
ICE
KKR
ANET
GEV
CI
UBS
ADI
MCK
BTI
CVS
MDLZ
KLAC
AJG
LRCX
SHW
INTC
CTAS
HCA
TRI
AON
UPS
MSTR
NKE
BAM
APH
ORLY
APP
NOC
MU
BBVA
MCO
RSG
CL
EQIX
DASH
TDG
GD
BP
TT
FTNT
BN
GSK
PBR
PH
RIO
APO
CDNS
WMB
ABNB
MMM
MSI
NGG
EQNR
INFY
SCCO
SE
CP
BMO
ITW
ECL
EPD
